,id,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,13001,6,9,11,31,32,5,11
1,13002,4,20,27,31,32,6,12
2,13003,1,16,18,21,31,9,12
3,13004,7,8,12,20,25,3,7
4,13005,18,22,26,28,31,10,12
5,13006,8,20,25,31,32,5,7
6,13007,14,29,32,33,34,3,6
7,13008,2,7,25,29,34,3,6
8,13009,10,17,19,27,29,5,12
9,13010,9,15,17,18,29,9,11
10,13011,1,2,8,15,23,6,9
11,13012,1,14,31,32,34,2,11
12,13013,13,15,29,30,35,1,11
13,13014,5,8,25,29,31,2,4
14,13015,14,15,26,32,33,1,11
15,13016,5,15,19,27,32,8,9
16,13017,11,14,22,29,34,5,11
17,13018,20,23,31,33,34,3,9
18,13019,6,12,17,29,30,7,11
19,13020,6,11,20,31,32,5,9
20,13021,23,24,28,30,33,1,11
21,13022,3,4,13,17,23,3,8
22,13023,5,19,24,26,35,5,7
23,13024,9,12,14,18,24,1,4
24,13025,3,23,25,26,28,10,12
25,13026,2,10,16,30,33,5,6
26,13027,3,12,14,24,35,3,8
27,13028,13,19,28,30,34,8,12
28,13029,5,7,17,25,26,4,10
29,13030,3,5,9,10,28,5,7
30,13031,12,17,18,26,32,10,11
31,13032,12,27,28,33,35,1,8
32,13033,12,18,22,28,31,1,11
33,13034,1,3,11,19,29,4,8
34,13035,5,14,28,32,34,7,8
35,13036,8,12,32,33,35,3,5
36,13037,2,26,31,32,34,6,8
37,13038,1,19,24,25,26,7,9
38,13039,6,23,30,33,35,7,10
39,13040,16,17,22,26,35,3,10
40,13041,3,13,14,15,34,5,8
41,13042,2,6,22,23,33,1,6
42,13043,7,13,25,34,35,7,9
43,13044,7,11,13,18,28,5,10
44,13045,8,11,12,21,25,2,7
45,13046,15,16,19,25,32,5,11
46,13047,12,20,28,30,35,3,11
47,13048,10,11,23,32,33,1,4
48,13049,18,22,25,31,32,4,6
49,13050,14,22,30,32,33,7,8
50,13051,5,8,15,18,33,7,8
51,13052,1,2,10,29,31,1,10
52,13053,13,31,33,34,35,5,7
53,13054,5,8,21,30,32,1,8
54,13055,4,5,22,23,24,3,9
55,13056,11,22,30,32,35,3,4
56,13057,7,15,27,33,35,7,10
57,13058,20,21,27,31,35,7,11
58,13059,3,8,11,24,27,7,12
59,13060,15,25,26,32,35,5,10
60,13061,1,14,18,21,32,5,10
61,13062,1,5,8,9,12,9,12
62,13063,3,5,11,27,28,5,6
63,13064,21,24,26,28,32,1,3
64,13065,9,28,31,34,35,2,9
65,13066,6,7,13,33,34,2,11
66,13067,2,3,5,8,29,10,12
67,13068,10,17,27,34,35,5,7
68,13069,6,12,13,16,30,7,12
69,13070,9,12,18,21,29,1,8
70,13071,13,19,26,27,28,3,11
71,13072,12,27,28,33,35,3,5
72,13073,3,5,23,27,31,2,6
73,13074,6,14,20,24,32,1,7
74,13075,1,11,13,19,35,7,8
75,13076,13,15,16,26,27,9,10
76,13077,24,26,30,32,35,6,12
77,13078,2,7,23,31,33,2,8
78,13079,9,10,17,21,34,1,7
79,13080,6,21,23,27,31,4,6
80,13081,7,9,15,17,23,2,7
81,13082,3,9,25,26,33,3,12
82,13083,26,29,30,32,35,4,10
83,13084,8,22,26,29,35,1,5
84,13085,8,19,23,27,32,3,5
85,13086,9,16,26,29,31,6,9
86,13087,9,12,22,32,34,2,4
87,13088,3,5,8,33,35,1,3
88,13089,6,7,23,24,29,4,11
89,13090,2,26,30,31,33,11,12
90,13091,4,9,28,34,35,2,8
91,13092,7,10,21,27,33,3,9
92,13093,1,5,17,18,26,5,7
93,13094,3,28,33,34,35,6,9
94,13095,3,17,28,30,33,1,10
95,13096,17,19,20,22,26,6,8
96,13097,7,8,13,17,32,3,8
97,13098,2,6,16,29,34,10,11
98,13099,4,11,28,30,33,5,12
99,13100,9,12,24,26,30,5,9
100,13101,4,9,13,15,32,2,9
101,13102,6,12,15,19,26,2,11
102,13103,5,8,13,16,31,3,9
103,13104,2,5,11,27,29,1,11
104,13105,7,13,27,30,34,1,12
105,13106,6,7,12,13,27,3,12
106,13107,7,13,14,18,25,5,12
107,13108,5,10,13,15,18,2,11
108,13109,13,20,26,29,32,2,6
109,13110,7,16,18,32,33,2,7
110,13111,7,12,13,20,27,1,3
111,13112,2,10,20,22,29,5,12
112,13113,19,21,23,28,30,8,12
113,13114,6,17,21,23,33,1,9
114,13115,5,16,29,32,34,4,11
115,13116,13,22,23,30,33,9,11
116,13117,5,16,23,25,33,7,12
117,13118,4,6,11,20,31,1,5
118,13119,1,2,16,23,35,1,11
119,13120,6,14,15,22,26,3,11
120,13121,3,18,19,20,24,3,12
121,13122,15,17,20,24,35,4,12
122,13123,2,9,10,33,34,5,12
123,13124,5,7,18,21,32,10,11
124,13125,4,8,14,23,28,4,8
125,13126,9,10,15,18,30,3,6
126,13127,3,14,16,19,32,5,10
127,13128,11,13,27,33,35,1,2
128,13129,11,23,29,30,33,1,4
129,13130,8,9,15,19,30,6,9
130,13131,12,15,29,30,31,4,12
131,13132,23,26,28,31,34,2,10
132,13133,2,8,10,16,17,9,12
133,13134,2,13,19,23,32,2,9
134,13135,4,13,19,25,26,7,12
135,13136,5,11,15,25,28,5,11
136,13137,4,12,32,33,34,6,8
137,13138,3,8,13,17,24,7,9
138,13139,5,6,18,20,31,6,7
139,13140,1,12,17,26,28,1,6
140,13141,5,15,18,25,31,8,10
141,13142,6,11,25,28,29,4,12
142,13143,3,8,14,21,31,6,8
143,13144,3,20,21,23,35,2,8
144,13145,2,13,15,18,20,2,11
145,13146,6,7,15,25,31,1,9
146,13147,3,9,22,24,25,5,9
147,13148,2,5,9,29,32,3,7
148,13149,6,7,8,9,13,5,7
149,13150,6,7,14,18,22,8,11
150,13151,2,13,21,27,30,3,4
151,13152,9,12,14,18,19,3,9
152,13153,4,5,16,17,30,3,9
0,14001,5,13,20,23,29,8,11
1,14002,1,12,21,24,29,1,7
2,14003,7,11,13,21,33,5,6
3,14004,7,10,19,27,28,9,12
4,14005,15,17,18,29,33,4,8
5,14006,1,4,7,16,35,6,8
6,14007,8,11,14,21,32,3,11
7,14008,11,13,20,28,35,1,5
8,14009,10,18,25,29,33,7,8
9,14010,5,10,20,26,27,1,3
10,14011,4,6,14,24,35,7,12
11,14012,9,20,21,23,29,5,7
12,14013,10,11,13,22,28,4,12
13,14014,1,9,11,27,29,3,11
14,14015,4,6,18,20,30,5,7
15,14016,4,6,13,24,34,4,9
16,14017,5,10,11,23,34,1,10
17,14018,8,9,12,28,34,2,12
18,14019,7,12,22,29,32,11,12
19,14020,1,14,17,30,35,6,7
20,14021,6,10,17,23,24,3,9
21,14022,3,6,10,16,25,10,11
22,14023,4,13,15,29,33,5,9
23,14024,7,11,15,31,32,6,11
24,14025,19,20,27,32,34,6,8
25,14026,5,10,12,15,26,4,8
26,14027,9,10,24,28,29,10,12
27,14028,3,10,20,25,30,10,12
28,14029,3,21,22,23,35,5,9
29,14030,3,14,18,29,35,11,12
30,14031,6,15,27,32,33,3,4
31,14032,2,5,6,9,31,2,9
32,14033,1,7,8,28,29,4,8
33,14034,3,11,14,27,32,5,7
34,14035,9,12,14,28,29,3,10
35,14036,1,2,12,17,29,3,8
36,14037,3,4,8,19,34,2,4
37,14038,7,8,12,20,32,3,5
38,14039,2,5,11,15,20,8,11
39,14040,12,15,21,30,33,2,8
40,14041,5,7,11,15,18,5,12
41,14042,16,21,25,27,35,6,11
42,14043,1,11,23,29,30,1,12
43,14044,22,23,25,27,35,3,11
44,14045,6,10,12,16,30,2,11
45,14046,3,15,18,21,26,1,6
46,14047,6,17,18,30,34,6,12
47,14048,1,2,5,15,35,1,11
48,14049,3,15,17,22,31,3,5
49,14050,10,18,27,28,35,1,6
