id,a,b,c,d,e
18110801,06,09,01,03,04
18110802,05,10,03,09,01
18110803,05,08,11,04,09
18110804,06,10,04,02,05
18110805,06,11,04,03,10
18110806,04,09,05,11,03
18110807,05,02,08,03,04
18110808,11,09,06,04,05
18110809,03,04,10,01,11
18110810,06,04,01,08,05
18110811,02,10,04,09,08
18110812,07,03,09,06,08
18110813,06,03,05,07,04
18110814,05,04,09,01,02
18110815,09,11,05,08,10
18110816,11,02,10,08,07
18110817,04,09,01,03,07
18110818,01,04,05,11,02
18110819,10,08,11,09,06
18110820,11,06,02,03,05
18110821,10,04,01,02,05
18110822,05,03,07,09,04
18110823,11,04,09,02,07
18110824,02,05,04,09,03
18110825,11,04,08,05,07
18110826,01,07,11,08,09
18110827,09,08,03,11,01
18110828,04,10,11,05,03
18110829,09,05,03,10,08
18110830,07,03,04,06,08
18110831,02,07,09,10,06
18110832,05,02,01,08,07
18110833,07,05,01,10,09
18110834,04,11,07,03,09
18110835,02,01,10,07,11
18110836,07,04,01,02,08
18110837,05,03,02,01,11
18110838,05,03,08,04,02
18110839,09,03,11,06,10
18110840,07,05,11,01,08
18110841,08,05,09,03,06
18110842,01,08,06,04,03
18110843,08,04,01,05,06
18110844,08,11,01,03,09
18110845,09,06,04,10,07
18110846,06,08,05,10,11
18110847,11,06,08,05,04
18110848,07,11,02,10,06
18110849,10,01,05,04,11
18110850,11,09,08,07,04
18110851,08,01,02,04,11
18110852,08,05,10,01,04
18110853,03,09,02,07,05
18110854,02,03,09,11,08
18110855,01,04,11,06,02
18110856,01,07,08,10,11
18110857,01,10,09,04,08
18110858,10,02,03,09,07
18110859,08,10,05,07,11
18110860,08,05,07,11,06
18110861,06,04,11,10,03
18110862,01,03,09,08,02
18110863,02,07,01,03,06
18110864,07,04,10,05,06
18110865,05,11,01,09,07
18110866,06,04,09,01,02
18110867,09,05,07,08,01
18110868,05,06,01,07,11
18110869,07,06,10,02,11
18110870,02,11,05,07,09
18110871,11,06,03,01,04
18110872,09,03,08,11,10
18110873,08,01,06,07,05
18110874,10,02,04,07,06
18110875,04,03,08,10,01
18110876,08,09,07,03,11
18110877,06,08,04,05,03
18110878,07,04,10,02,11
18110879,04,08,02,05,09
18110880,04,06,03,09,05
18110881,04,01,03,06,07
18110882,07,02,05,10,04
18110883,06,05,09,03,01
18110884,07,03,10,01,02
18110885,07,02,01,09,08
18110886,04,06,05,03,09
18110887,03,07,04,02,01
